series_name,date,value
FMCG Sales,2022-12-31,217087625
FMCG Sales,2022-09-30,205548645
FMCG Sales,2022-06-30,198741885
FMCG Sales,2022-03-31,177259486
FMCG Sales,2021-12-31,162101224
FMCG Sales,2021-09-30,154984854
FMCG Sales,2021-06-30,148552146.2
FMCG Sales,2021-03-31,148209570
FMCG Sales,2020-12-31,137105313.3
FMCG Sales,2020-09-30,128455859.2
FMCG Sales,2020-06-30,121948082.3
FMCG Sales,2020-03-31,118856641.7
FMCG Sales,2019-12-31,114268936.3
FMCG Sales,2019-09-30,103478415.9
FMCG Sales,2019-06-30,114474302.8
FMCG Sales,2019-03-31,104500338.2
FMCG Sales,2018-12-31,108566158.2
FMCG Sales,2018-09-30,101927583.6
FMCG Sales,2018-06-30,91686496.82
FMCG Sales,2018-03-31,90585699.67
FMCG Sales,2017-12-31,87371641.75
FMCG Sales,2017-09-30,87549430.84
