date,value,series_name
2013-07-31,-820,Overall Balance
2013-08-31,206,Overall Balance
2013-09-30,-577,Overall Balance
2013-10-31,-351,Overall Balance
2013-11-30,-519,Overall Balance
2013-12-31,165,Overall Balance
2014-01-31,-261,Overall Balance
2014-02-28,916,Overall Balance
2014-03-31,993,Overall Balance
2014-04-30,2198,Overall Balance
2014-05-31,1399,Overall Balance
2014-06-30,509,Overall Balance
2014-07-31,-350,Overall Balance
2014-08-31,-379,Overall Balance
2014-09-30,394,Overall Balance
2014-10-31,-308,Overall Balance
2014-11-30,-258,Overall Balance
2014-12-31,1386,Overall Balance
2015-01-31,-127,Overall Balance
2015-02-28,938,Overall Balance
2015-03-31,-83,Overall Balance
2015-04-30,903,Overall Balance
2015-05-31,-517,Overall Balance
2015-06-30,1047,Overall Balance
2015-07-31,274,Overall Balance
2015-08-31,-274,Overall Balance
2015-09-30,1245,Overall Balance
2015-10-31,-406,Overall Balance
2015-11-30,-1,Overall Balance
2015-12-31,621,Overall Balance
2016-01-31,-415,Overall Balance
2016-02-29,-3,Overall Balance
2016-03-31,103,Overall Balance
2016-04-30,-253,Overall Balance
2016-05-31,688,Overall Balance
2016-06-30,1073,Overall Balance
2016-07-31,-75,Overall Balance
2016-08-31,54,Overall Balance
2016-09-30,298,Overall Balance
2016-10-31,520,Overall Balance
2016-11-30,-484,Overall Balance
2016-12-31,-86,Overall Balance
2017-01-31,-926,Overall Balance
2017-02-28,-309,Overall Balance
2017-03-31,-606,Overall Balance
2017-04-30,-397,Overall Balance
2017-05-31,336,Overall Balance
2017-06-30,-271,Overall Balance
2017-07-31,-1533,Overall Balance
2017-08-31,147,Overall Balance
2017-09-30,-761,Overall Balance
2017-10-31,-353,Overall Balance
2017-11-30,-793,Overall Balance
2017-12-31,1433,Overall Balance
2018-01-31,-1384,Overall Balance
2018-02-28,-531,Overall Balance
2018-03-31,-590,Overall Balance
2018-04-30,-223,Overall Balance
2018-05-31,-1901,Overall Balance
2018-06-30,348,Overall Balance
2018-07-31,582,Overall Balance
2018-08-31,-152,Overall Balance
2018-09-30,-1250,Overall Balance
2018-10-31,-792,Overall Balance
2018-11-30,-68,Overall Balance
2018-12-31,-344,Overall Balance
2019-01-31,965,Overall Balance
2019-02-28,-93,Overall Balance
2019-03-31,2488,Overall Balance
2019-04-30,-1694,Overall Balance
2019-05-31,-807,Overall Balance
2019-06-30,-339,Overall Balance
2019-07-31,751,Overall Balance
2019-08-31,540,Overall Balance
2019-09-30,-213,Overall Balance
2019-10-31,152,Overall Balance
2019-11-30,805,Overall Balance
2019-12-31,2319,Overall Balance
2020-01-31,922,Overall Balance
2020-02-29,566,Overall Balance
2020-03-31,-1596,Overall Balance
2020-04-30,1144,Overall Balance
2020-05-31,-1945,Overall Balance
2020-06-30,1854,Overall Balance
2020-07-31,241,Overall Balance
2020-08-31,7,Overall Balance
2020-09-30,-423,Overall Balance
2020-10-31,-45,Overall Balance
2020-11-30,821,Overall Balance
2020-12-31,681,Overall Balance
2021-01-31,-565,Overall Balance
2021-02-28,47,Overall Balance
2021-03-31,773,Overall Balance
2021-04-30,2027,Overall Balance
2021-05-31,371,Overall Balance
2021-06-30,1618,Overall Balance
2021-07-31,533,Overall Balance
2021-08-31,2309,Overall Balance
2021-09-30,-678,Overall Balance
2021-10-31,-2097,Overall Balance
2021-11-30,-1251,Overall Balance
2021-12-31,1972,Overall Balance
2022-01-31,-1087,Overall Balance
2022-02-28,-204,Overall Balance
2022-03-31,-4609,Overall Balance
2022-04-30,-708,Overall Balance
2022-05-31,-1130,Overall Balance
2022-06-30,632,Overall Balance
2022-07-31,-1765,Overall Balance
2022-08-31,400,Overall Balance
2022-09-30,-653,Overall Balance
2022-10-31,1173,Overall Balance
2022-11-30,-1147,Overall Balance
2022-12-31,-2292,Overall Balance
2023-01-31,-2255,Overall Balance
2023-02-28,932,Overall Balance
2023-03-31,636,Overall Balance
2023-04-30,385,Overall Balance
2023-05-31,-745,Overall Balance
