date,Net Reserves with SBP,Net Reserves with Banks
2023-05-31,3679,4849
2023-04-30,4458,4999
2023-03-31,4208,4956
2023-02-28,3864,4887
2023-01-31,3110,5059
2022-12-31,5586,5260
2022-11-30,7722,5298
2022-10-31,8760,5232
2022-09-30,7860,5432
2022-08-31,8805,5428
2022-07-31,8395,5554
2022-06-30,9815,5635
2022-05-31,9397,5737
2022-04-30,10499,5907
2022-03-31,11425,6001
2022-02-28,16386,6252
2022-01-31,16608,6228
2021-12-31,17686,6197
2021-11-30,15966,6363
2021-10-31,17200,6630
2021-09-30,19254,6730
2021-08-31,20074,6994
2021-07-31,17846,6931
2021-06-30,17299,7099
2021-05-31,16139,7134
2021-04-30,15598,7092
2021-03-31,13493,7110
2021-02-28,12975,7130
2021-01-31,13031,7118
2020-12-31,13415,7096
2020-11-30,13112,7142
2020-10-31,12183,7207
2020-09-30,12154,7231
2020-08-31,12738,7169
2020-07-31,12542,7056
2020-06-30,12132,6754
2020-05-31,10362,6581
2020-04-30,12329,6409
2020-03-31,10845,6253
2020-02-29,12758,6123
2020-01-31,12274,6384
2019-12-31,11336,6594
2019-11-30,9112,6891
2019-10-31,8241,7183
2019-09-30,7937,7292
2019-08-31,8280,7365
2019-07-31,7828,7316
2019-06-30,7285,7196
2019-05-31,7863,7019
2019-04-30,8781,6941
2019-03-31,10492,6925
2019-02-28,8086,6865
2019-01-31,8192,6729
2018-12-31,7204,6553
2018-11-30,7502,6509
2018-10-31,7602,6414
2018-09-30,8409,6512
2018-08-31,9886,6505
2018-07-31,10224,6680
2018-06-30,9765,6618
2018-05-31,9510,6403
2018-04-30,11389,6130
2018-03-31,11602,6211
2018-02-28,12227,6089
2018-01-31,12794,6162
2017-12-31,14107,6070
2017-11-30,12661,6113
2017-10-31,13491,6092
2017-09-30,13857,5918
2017-08-31,14681,5720
2017-07-31,14587,5636
2017-06-30,16145,5258
2017-05-31,16415,4775
2017-04-30,16062,4957
2017-03-31,16466,5106
2017-02-28,17081,4991
2017-01-31,17416,4826
2016-12-31,18272,4931
2016-11-30,18369,5014
2016-10-31,18925,5101
2016-09-30,18491,5129
2016-08-31,18122,4905
2016-07-31,18061,4943
2016-06-30,18143,4956
2016-05-31,16581,4768
2016-04-30,15905,4897
2016-03-31,16119,4803
2016-02-29,15512,4833
2016-01-31,15436,4859
2015-12-31,15884,4929
2015-11-30,14772,5066
2015-10-31,14821,5025
2015-09-30,15245,4829
2015-08-31,13459,5012
2015-07-31,13767,5050
2015-06-30,13526,5174
2015-05-31,11913,5099
2015-04-30,12517,5167
2015-03-31,11615,5047
2015-02-28,11207,4930
2015-01-31,10358,4805
2014-12-31,10513,4755
2014-11-30,8222,4765
2014-10-31,8619,4824
2014-09-30,8942,4568
2014-08-31,8718,4893
2014-07-31,9277,5027
2014-06-30,9097,5044
2014-05-31,8684,4783
2014-04-30,7414,4769
2014-03-31,5366,4710
2014-02-28,3919,4825
2014-01-31,3180,4808
2013-12-31,3480,4834
2013-11-30,3048,5199
2013-10-31,4229,5295
2013-09-30,4694,5124
2013-08-31,4824,5171
2013-07-31,5203,5083
2013-06-30,6007,5011
2013-05-31,6393,5081
2013-04-30,6693,5118
2013-03-31,7126,5124
2013-02-28,7945,4992
2013-01-31,8694,4942
2012-12-31,8987,4872
2012-11-30,8703,4828
2012-10-31,9734,4592
2012-09-30,10359,4564
2012-08-31,10392,4464
2012-07-31,10154,4455
2012-06-30,10803,4485
2012-05-31,11265,4311
2012-04-30,12040,4446
2012-03-31,11835,4716
2012-02-29,11962,4450
2012-01-31,12471,4372
2011-12-31,12875,4151
2011-11-30,12911,3817
2011-10-31,13322,3744
2011-09-30,13651,3680
2011-08-31,14603,3463
2011-07-31,14776,3519
2011-06-30,14784,3460
2011-05-31,13701,3368
2011-04-30,13704,3342
2011-03-31,14290,3311
2011-02-28,14076,3415
2011-01-31,13843,3511
2010-12-31,13529,3684
2010-11-30,12772,3702
2010-10-31,13174,3740
2010-09-30,13187,3797
2010-08-31,12240,3727
2010-07-31,12716,3770
